AperName Detector ColCorner RowCorner Ncols Nrows
NRCA2_FSTAMASK210R A2 564 710 128 128
NRCA4_FSTAMASKSWB A4 103 723 128 128
NRCA5_FSTAMASKLWB A5 562 1527 64 64
NRCA5_FSTAMASKM335R A5 1398 1520 64 64
NRCA5_FSTAMASKM430R A5 1082 1526 64 64
NRCB1_MASK210R B1 929 199 640 640
NRCB5_MASK335R B5 1195 198 320 320
NRCB5_MASK430R B5 873 200 320 320
NRCB3_MASKSWB B3 522 203 640 640
NRCB5_MASKLWB B5 537 202 320 320
NRCB1_TAMASK210R B1 1431 696 128 128
NRCB5_TAMASK335R B5 1487 445 64 64
NRCB5_TAMASK430R B5 1164 447 64 64
NRCB3_TAMASKSWB B3 1100 700 128 128
NRCB5_TAMASKLWB B5 830 450 64 64
NRCB5_TAMASKLWBL B5 507 453 64 64
NRCB3_TAMASKSWBS B3 526 705 128 1128
NRCA3_DHSPIL A3 1 1 2048 2048
NRCA3_DHSPIL_SUB96 A3 986 1032 96 96
NRCA3_DHSPIL_WEDGES A3 1 1 2048 2048
NRCB4_DHSPIL B4 1 1 2048 2048
NRCB4_DHSPIL_SUB96 B4 965 1032 96 96
NRCB4_DHSPIL_WEDGES B4 1 1 2048 2048
NRCA3_FP1 A3 1 1 2048 2048
NRCA3_FP1_SUB8 A3 1844 1844 8 8
NRCA3_FP1_SUB64 A3 1816 1816 32 32
NRCA3_FP2MIMF A3 1 1 2048 2048
NRCA1_FP3MIMF A1 1 1 2048 2048
NRCA2_FP4MIMF A2 1 1 2048 2048
NRCA4_FP5MIMF A4 1 1 2048 2048
NRCB4_FP1 B4 1 1 2048 2048
NRCB4_FP1_SUB8 B4 196 1844 8 8
NRCB4_FP1_SUB64 B4 168 1816 64 64
NRCB4_FP2MIMF B4 1 1 2048 2048
NRCB2_FP3MIMF B2 1 1 2048 2048
NRCB1_FP4MIMF B1 1 1 2048 2048
NRCB3_FP5MIMF B3 1 1 2048 2048
NRCA5_GRISMC_WFSS A5 1 1 2048 2048
NRCA5_GRISMR_WFSS A5 1 1 2048 2048
NRCALL_GRISMC_WFSS "A5 + B5" 1 1 2048 2048
NRCALL_GRISMR_WFSS "A5 + B5" 1 1 2048 2048
