Wavelength Width AperCor
2.35300429184549 15.3 1.007491260033394
2.35300429184549 15.42 1.007408274887754
2.35300429184549 15.54 1.0073167782182013
2.35300429184549 15.66 1.0072845317852248
2.35300429184549 15.78 1.0072585379777024
2.35300429184549 15.9 1.0072227341672297
2.35300429184549 16.02 1.00719770982822
2.35300429184549 16.139999999999997 1.0071391125122338
2.35300429184549 16.259999999999998 1.007034043217194
2.35300429184549 16.38 1.0070053984314304
2.35300429184549 16.499999999999996 1.0069827342601938
2.35300429184549 16.619999999999997 1.0069487505675543
2.35300429184549 16.74 1.0069251219580349
2.35300429184549 16.86 1.0068825004990818
2.35300429184549 16.979999999999997 1.0067837768363412
2.35300429184549 17.099999999999998 1.006747931386603
2.35300429184549 17.22 1.0067259845916416
2.35300429184549 17.34 1.0066962224403688
